Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite
1,6858,group.1um/organic_green_plastic_tarp_1um,Plastic_Tarp GDS339 Green W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_Tarp_GDS339_Green_ASDFRa_AREF.html,1,splib06,,,,,,,,,,,,,,,,-1,,,
2,744,group.1um/fe3+_hematite.fine.gr.gds76,Hematite.02+Quartz.98 GDS76 W1R1Ha,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite.02+Quartz.98_GDS76_BECKa_AREF.html,1,sprlb06,,,,,,0.02,,,,,,,,,,,,,
3,882,group.1um/fe3+_goethite.medgr.ws222,Goethite WS222 <250um MedGrn W1R1H_ AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Medium_Gr._BECKa_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,
4,5736,group.1um/fe3+_goethite+qtz.medgr.gds240,Goethite0.02+Quartz GDS240 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite0.02+Quartz_GDS240_BECKa_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,
5,1878,group.1um/fe3+_goethite.fingr,Goethite MPCMA2-B FineGr adj W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-B_FineGr_adj_BECKb_AREF.html,1,splib06,,,,0.2,,,,,,,,,,,,,,,
6,852,group.1um/fe3+_goethite.medcoarsegr.mpc.trjar,Goethite MPCMA2-C M-Crsgrad2 W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-C_M-Crsgrad2_BECKb_AREF.html,1,sprlb06,,,,0.37,,,,,,,,,,,,,,,
7,894,group.1um/fe3+_goethite.coarsegr,Goethite WS222 coarse grain W1R1H_,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Coarse_Gr._BECKa_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,
8,6168,group.1um/fe3+_goethite.thincoat,Goethite_Thin_Film WS222 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_Thin_Film_WS222_BECKa_AREF.html,1,splib06,,,,0.1,,,,,,,,,,,,,,,
9,5730,group.1um/fe3+_goeth+jarosite,Goeth+qtz.5+Jarosite.5 AMX11 W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goeth+qtz.5+Jarosite.5_AMX11_BECKb_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,
10,6042,group.1um/sulfide_pyrite,Pyrite LV95-6A Weath on Tail W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pyrite_LV95-6A_Weath_on_Tail_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,
11,4476,group.1um/fe3+_sulfate_schwertmannite,Schwertmannite BZ93-1 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Schwertmannite_BZ93-1_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
12,6144,group.1um/Mn-Coating,Blck_Mn_Coat_Tailngs LV95-3 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Blck_Mn_Coat_Tailngs_LV95-3_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,-1,
13,5316,group.1um/fe3+mix_AMD.assemb1,Acid_Mine_Dr Assemb1-Fe3+ W1R1Fb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Acid_Mine_Dr_Assemb1-Fe3+_ASDFRb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
14,5322,group.1um/fe3+mix_AMD.assemb2,Acid_Mine_Dr Assemb2-Fe3+ W1R1Fb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Acid_Mine_Dr_Assemb2-Fe3+_ASDFRb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
15,2568,group.1um/fe3+_sulfate_kjarosite200,Jarosite GDS99 K 200C Syn W1R1BaS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jarosite_GDS99_K_200C_Syn_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
16,732,group.1um/fe3+_goethite.lepidocrosite,Lepidocrosite GDS80 (Syn) W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Lepidocrocite_GDS80_(Syn)_BECKb_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,
17,5634,group.1um/fe2+_chlor+muscphy,Chlorite+Muscovite CU93-65A W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlorite+Muscovite_CU93-65A_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
18,900,group.1um/fe2+_goeth+musc,Goethite CU91-252 coatedchip W1R1H_,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,0.04,,,,,,,,,,,,,,,
19,5604,group.1um/fe2+fe3+_chlor+goeth.propylzone,Chlor+Goethite CU93-4B Phyl W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlor+Goethite_CU93-4B_Phyl_BECKa_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,
20,1446,group.1um/fe2+generic_nrw.cummingtonite,Cummingtonite HS294.3B W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cummingtonite_HS294.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
21,72,group.1um/fe2+generic_nrw.actinolite,Actinolite NMNHR16485 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_NMNHR16485_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
22,42,group.1um/fe2+generic_nrw.hs-actinolite,Actinolite HS22.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_HS22.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
23,2334,group.1um/fe2+_pyroxene.hypersthene,Hypersthene NMNHC2368 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hypersthene_NMNHC2368_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
24,1548,group.1um/fe2+_pyroxene.diopside,Diopside NMNHR18685 ~160 Pyx W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Diopside_NMNHR18685_~160_Pyx_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
25,2502,group.1um/fe2+generic_med.jadeite,Jadeite HS343.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jadeite_HS343.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
26,3966,group.1um/fe2+_pyroxene_clino_pigeonite,Pigeonite HS199.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pigeonite_HS199.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
27,1668,group.1um/epidote,Epidote GDS26.a 75-200um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Epidote_GDS26.a_75-200um_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
28,5724,group.1um/fe3+bearing1,Fe-Hydroxide SU93-106 amorph W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Fe-Hydroxide_SU93-106_amorph_BECKb_AREF.html,1,splib06,,,,0.2,,,,,,,,,,,,,,,
29,1740,group.1um/fe3+_ferrihydrite,Ferrihydrite GDS75 Syn F6 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Ferrihydrite_GDS75_Syn_F6_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
30,738,group.1um/fe3+_hematite.med.gr.gds27,Hematite GDS27 W1R1Ha,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_GDS27_BECKa_AREF.html,1,sprlb06,,,,,,1,,,,,,,,,,,,,
31,6198,group.1um/fe3+_hematite.thincoat,Hematite_Thin_Film GDS27 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Thin_Film_GDS27_BECKa_AREF.html,1,splib06,,,,,,0.05,,,,,,,,,,,,,
32,2100,group.1um/fe3+_hematite.fine.gr.fe2602,Hematite FE2602 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_FE2602_BECKb_AREF.html,1,splib06,,,,,,1,,,,,,,,,,,,,
33,906,group.1um/fe3+_hematite.fine.gr.ws161,Hematite WS161 W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_WS161_BECKb_AREF.html,1,sprlb06,,,,,,0.79,,,,,,,,,,,,,
34,3558,group.1um/fe3+_smectite_nontronite,Nontronite NG-1.a W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Nontronite_NG-1.a_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
35,5328,group.1um/fe2+generic_brd.br5a_actinolite,Actinolite-Hornfels BR93-5a W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite-Hornfels_BR93-5a_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
36,846,group.1um/fe2+fe3+mix_with_hematite_br5b,Magnetite_skarn BR93-5B W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Magnetite_skarn_BR93-5B_BECKb_AREF.html,1,sprlb06,,,,,,0.17,,,,,,,,,,,,,
37,5334,group.1um/fe2+generic_brd.br22c_actinolite,Actinolite-Tremolit BR93-22C W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite-Tremolit_BR93-22C_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
38,1656,group.1um/fe2+generic_br33a_bioqtzmonz_epidote,Epidote BR93-33a W1R1Bb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Epidote_BR93-33a_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
39,5490,group.1um/fe2+generic_brd.br36a_chlorite,Biotite-Chlorite_Mx BR93-36A W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Biotite-Chlorite_Mx_BR93-36A_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
40,5460,group.1um/fe2+fe3+_hematite_weathering,Basalt_weathered BR93-43 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Basalt_weathered_BR93-43_BECKb_AREF.html,1,splib06,,,,,,0.01,,,,,,,,,,,,,
41,5454,group.1um/fe2+generic_basalt_br46b,Basalt_fresh BR93-46B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Basalt_fresh_BR93-46B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
42,840,group.1um/fe3+_hematite.lg.gr.br25a,Hematite_Coatd_Qtzt BR93-25A W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtzt_BR93-25A_BECKa_AREF.html,1,sprlb06,,,,,,0.01,,,,,,,,,,,,,
43,6174,group.1um/fe3+_hematite.med.gr.br25b,Hematite_Coatd_Qtz BR93-25B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtz_BR93-25B_BECKa_AREF.html,1,splib06,,,,,,0.05,,,,,,,,,,,,,
44,816,group.1um/fe3+_hematite.lg.gr.br25c,Hematite_Coatd_Qtzt BR93-25C W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtzt_BR93-25C_BECKa_AREF.html,1,sprlb06,,,,,,0.69,,,,,,,,,,,,,
45,3468,group.1um/fe3+_hematite.nano.BR34b2,Nanohematite BR93-34B2 W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Nanohematite_BR93-34B2_BECKb_AREF.html,1,splib06,,,,,,0.1,,,,,,,,,,,,,
46,1026,group.1um/fe3+_hematite-nano+goethite-fg,nHematit+fg-Goethit 34B2+MPC W1R1Hb,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,0.1,,0.05,,,,,,,,,,,,,
47,918,group.1um/fe3+_hematite.nano.BR34b2b,Nanohematite FBR93-34B2b ed1 W1R1Hb,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,,,0.1,,,,,,,,,,,,,
48,822,group.1um/fe3+_hematite.lg.gr.br34c,Hematite_Coatd_Qtz BR93-34C W1R1Ha AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtz_BR93-34C_BECKa_AREF.html,1,sprlb06,,,,,,0.63,,,,,,,,,,,,,
49,6210,group.1um/fe3+_sulfate_jarosite_br34a2,Jarosite_on_Qtzite BR93-34A2 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jarosite_on_Qtzite_BR93-34A2_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
50,5340,group.1um/fe2+generic_broad_br60b,Actinolite_Dolomit BR93-60B W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_Dolomit_BR93-60B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
51,6036,group.1um/fe2+generic_vbroad_br20,Phlogopite_Sand_Mix BR93-20 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Phlogopite_Sand_Mix_BR93-20_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
52,6942,group.1um/fe2+fe3+_water_RTsludge,Renyolds_TnlSldgWet SM93-15w W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Renyolds_TnlSldgWet_SM93-15w_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
53,660,group.1um/fe2+_chlorite.clinochlor,Clinochlore GDS158 Flagst W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Clinochlore_GDS158_Flagstaff_ASDNGb_AREF.html,1,sprlb06,,,,,,,,,,,,,,,,,,,
54,1200,group.1um/fe2+_chlorite.Felow.clinochlor,Clinochlore NMNH83369 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Clinochlore_NMNH83369_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
55,4890,group.1um/fe2+_chlorite.thuringite,Thuringite SMR-15.c 32um W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Thuringite_SMR-15.c_32um_NIC4aa_RREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
56,720,group.1um/copper_carbonate_azurite,Azurite WS316 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Azurite_WS316_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
57,3990,group.1um/fe3+copper-hydroxide_pitchlimonite,Pitch_Limonite GDS104 Cu W1R1B?,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pitch_Limonite_GDS104_Cu_BECKu_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
58,2964,group.1um/copper_carbonate_malachite,Malachite HS254.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Malachite_HS254.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
59,5496,group.1um/copper_sulfate_bluefflor,Blue_Efflorscnt_Min SU93-300 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Blue_Efflorscnt_Min_SU93-300_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,-1,,,,,
60,6594,group.1um/copper_precipitate_greenslime,Green_Slime SM93-14A Summitv W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Green_Slime_SM93-14A_Summitv_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
61,3696,group.1um/fe2+_olivine-lrg-gr,Olivine HS285.4B Fo80 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_HS285.4B_Fo80_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
62,3666,group.1um/fe2+_olivine-fine-gr,Olivine GDS71.a Fo91 65um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS71.a_Fo91_65um_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
63,4278,group.1um/carbonate_rhodochrosite,Rhodochrosite HS338.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Rhodochrosite_HS338.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
64,4560,group.1um/fe2+generic_carbonate_siderite1,Siderite HS271.3B W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Siderite_HS271.3B_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
65,4362,group.1um/fe2+generic_amphibole_riebeckite,Riebeckite NMNH122689 Amph W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Riebeckite_NMNH122689_Amph_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
66,1386,group.1um/fe3+fe2+_sulfate_coquimbite,Coquimbite GDS22 W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Coquimbite_GDS22_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
67,1374,group.1um/fe3+fe2+_sulfate_copiapite,Copiapite GDS21 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Copiapite_GDS21_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
68,1134,group.1um/copper_chrysocolla,Chrysocolla HS297.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chrysocolla_HS297.3B_ASDFRb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
69,3498,group.1um/ree_neodymium_oxide,Neodymium_Oxide GDS34 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Neodymium_Oxide_GDS34_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
70,4410,group.1um/ree_samarium_oxide,Samarium_Oxide GDS36 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Samarium_Oxide_GDS36_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
71,708,group.1um/fe2+generic_axinite,Axinite HS342.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Axinite_HS342.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
72,4728,group.1um/fe2+generic_staurolite,Staurolite HS188.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Staurolite_HS188.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
73,216,group.1um/fe2+generic_almandine,Almandine WS479 Garnet W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Almandine_WS479_Garnet_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
74,678,group.1um/fe2+_pyroxene_augite,Augite NMNH120049 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Augite_NMNH120049_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
75,810,group.1um/fe2+_pyroxene.bronzite,Bronzite HS9.3B Pyroxene W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Bronzite_HS9.3B_Pyroxene_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
76,858,group.1um/fe2+generic_sulfate_butlerite,Butlerite GDS25 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Butlerite_GDS25_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
77,882,group.1um/fe2+_feldspar.bytownite,Bytownite HS106.3B Plagio W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Bytownite_HS106.3B_Plagio_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
78,1002,group.1um/sulfide_copper_chalcopyrite,Chalcopyrite HS431.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chalcopyrite_HS431.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,
79,1122,group.1um/fe2+_chromite,Chromite HS281.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chromite_HS281.3B_ASDFRc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
80,1164,group.1um/sulfide_cinnabar,Cinnabar HS133.3B W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cinnabar_HS133.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,
81,1458,group.1um/copper_oxide_cuprite,Cuprite HS127.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cuprite_HS127.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
82,6156,group.1um/fe3+mn_desert.varnish1,Desert_Varnish GDS141 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Desert_Varnish_GDS141_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,-1,
83,6162,group.1um/fe3+mn_desert.varnish2,Desert_Varnish GDS78A Rhy W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Desert_Varnish_GDS78A_Rhy_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,-1,
84,1644,group.1um/fe2+_pyroxene_enstatite,Enstatite NMNH128288 W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Enstatite_NMNH128288_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
85,2088,group.1um/fe2+_pyroxene_hedenbergite,Hedenbergite NMNH119197 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hedenbergite_NMNH119197_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
86,2796,group.1um/sulfate_lazurite,Lazurite HS418.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Lazurite_HS418.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,-1,,,,,
87,2928,group.1um/fe3+_maghemite,Maghemite GDS81 Syn (M-3) W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Maghemite_GDS81_Syn_(M-3)_BECKb_AREF.html,1,splib06,,,,,,0.85,,,,,,,,,,,,,
88,2940,group.1um/magnetite,Magnetite HS195.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Magnetite_HS195.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
89,4158,group.1um/mn_oxide_pyrolusite,Pyrolusite HS138.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pyrolusite_HS138.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
90,3042,group.1um/fe2+_feldspar_microcline,Microcline HS103.3B Feldspar W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Microcline_HS103.3B_Feldspar_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
91,132,group.1um/fe2+_feldspar_albite,Albite HS143.3B Plagioclase W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Albite_HS143.3B_Plagioclase_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
92,3852,group.1um/fe2+_feldspar_orthoclase,Orthoclase NMNH142137 Fe W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Orthoclase_NMNH142137_Fe_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
93,3882,group.1um/inosilicate_pectolite,Pectolite NMNH94865.a W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pectolite_NMNH94865.a_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
94,4314,group.1um/mn2+_rhodonite,Rhodonite NMNHC6148 >250um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Rhodonite_NMNHC6148_gt250um_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
95,4776,group.1um/sulfur,Sulfur GDS94 Reagent W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Sulfur_GDS94_Reagent_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
96,7128,group.2um/organic_vegetation-dry-grass-long,Dry_Long_Grass AV87-2 W1R1Ba,No available USGS Spectral Library 7 Description Reference,2,splib06,,,,,,,,,,,,,,,,,-1,,
